atr,risk
0.5,0.002
0.5,0.004
0.5,0.006
0.5,0.008
0.5,0.01
0.5,0.012
0.5,0.014
0.5,0.016
0.5,0.018000000000000002
0.5,0.02
0.5,0.022
0.5,0.024
0.5,0.026000000000000002
0.5,0.028
0.5,0.03
0.5,0.032
0.5,0.034
0.5,0.036000000000000004
0.5,0.038
0.5,0.04
0.5,0.042
0.5,0.044
0.5,0.046
0.5,0.048
0.5,0.05
0.75,0.002
0.75,0.004
0.75,0.006
0.75,0.008
0.75,0.01
0.75,0.012
0.75,0.014
0.75,0.016
0.75,0.018000000000000002
0.75,0.02
0.75,0.022
0.75,0.024
0.75,0.026000000000000002
0.75,0.028
0.75,0.03
0.75,0.032
0.75,0.034
0.75,0.036000000000000004
0.75,0.038
0.75,0.04
0.75,0.042
0.75,0.044
0.75,0.046
0.75,0.048
0.75,0.05
1.0,0.002
1.0,0.004
1.0,0.006
1.0,0.008
1.0,0.01
1.0,0.012
1.0,0.014
1.0,0.016
1.0,0.018000000000000002
1.0,0.02
1.0,0.022
1.0,0.024
1.0,0.026000000000000002
1.0,0.028
1.0,0.03
1.0,0.032
1.0,0.034
1.0,0.036000000000000004
1.0,0.038
1.0,0.04
1.0,0.042
1.0,0.044
1.0,0.046
1.0,0.048
1.0,0.05
1.25,0.002
1.25,0.004
1.25,0.006
1.25,0.008
1.25,0.01
1.25,0.012
1.25,0.014
1.25,0.016
1.25,0.018000000000000002
1.25,0.02
1.25,0.022
1.25,0.024
1.25,0.026000000000000002
1.25,0.028
1.25,0.03
1.25,0.032
1.25,0.034
1.25,0.036000000000000004
1.25,0.038
1.25,0.04
1.25,0.042
1.25,0.044
1.25,0.046
1.25,0.048
1.25,0.05
1.5,0.002
1.5,0.004
1.5,0.006
1.5,0.008
1.5,0.01
1.5,0.012
1.5,0.014
1.5,0.016
1.5,0.018000000000000002
1.5,0.02
1.5,0.022
1.5,0.024
1.5,0.026000000000000002
1.5,0.028
1.5,0.03
1.5,0.032
1.5,0.034
1.5,0.036000000000000004
1.5,0.038
1.5,0.04
1.5,0.042
1.5,0.044
1.5,0.046
1.5,0.048
1.5,0.05
1.75,0.002
1.75,0.004
1.75,0.006
1.75,0.008
1.75,0.01
1.75,0.012
1.75,0.014
1.75,0.016
1.75,0.018000000000000002
1.75,0.02
1.75,0.022
1.75,0.024
1.75,0.026000000000000002
1.75,0.028
1.75,0.03
1.75,0.032
1.75,0.034
1.75,0.036000000000000004
1.75,0.038
1.75,0.04
1.75,0.042
1.75,0.044
1.75,0.046
1.75,0.048
1.75,0.05
2.0,0.002
2.0,0.004
2.0,0.006
2.0,0.008
2.0,0.01
2.0,0.012
2.0,0.014
2.0,0.016
2.0,0.018000000000000002
2.0,0.02
2.0,0.022
2.0,0.024
2.0,0.026000000000000002
2.0,0.028
2.0,0.03
2.0,0.032
2.0,0.034
2.0,0.036000000000000004
2.0,0.038
2.0,0.04
2.0,0.042
2.0,0.044
2.0,0.046
2.0,0.048
2.0,0.05
2.25,0.002
2.25,0.004
2.25,0.006
2.25,0.008
2.25,0.01
2.25,0.012
2.25,0.014
2.25,0.016
2.25,0.018000000000000002
2.25,0.02
2.25,0.022
2.25,0.024
2.25,0.026000000000000002
2.25,0.028
2.25,0.03
2.25,0.032
2.25,0.034
2.25,0.036000000000000004
2.25,0.038
2.25,0.04
2.25,0.042
2.25,0.044
2.25,0.046
2.25,0.048
2.25,0.05
2.5,0.002
2.5,0.004
2.5,0.006
2.5,0.008
2.5,0.01
2.5,0.012
2.5,0.014
2.5,0.016
2.5,0.018000000000000002
2.5,0.02
2.5,0.022
2.5,0.024
2.5,0.026000000000000002
2.5,0.028
2.5,0.03
2.5,0.032
2.5,0.034
2.5,0.036000000000000004
2.5,0.038
2.5,0.04
2.5,0.042
2.5,0.044
2.5,0.046
2.5,0.048
2.5,0.05
2.75,0.002
2.75,0.004
2.75,0.006
2.75,0.008
2.75,0.01
2.75,0.012
2.75,0.014
2.75,0.016
2.75,0.018000000000000002
2.75,0.02
2.75,0.022
2.75,0.024
2.75,0.026000000000000002
2.75,0.028
2.75,0.03
2.75,0.032
2.75,0.034
2.75,0.036000000000000004
2.75,0.038
2.75,0.04
2.75,0.042
2.75,0.044
2.75,0.046
2.75,0.048
2.75,0.05
3.0,0.002
3.0,0.004
3.0,0.006
3.0,0.008
3.0,0.01
3.0,0.012
3.0,0.014
3.0,0.016
3.0,0.018000000000000002
3.0,0.02
3.0,0.022
3.0,0.024
3.0,0.026000000000000002
3.0,0.028
3.0,0.03
3.0,0.032
3.0,0.034
3.0,0.036000000000000004
3.0,0.038
3.0,0.04
3.0,0.042
3.0,0.044
3.0,0.046
3.0,0.048
3.0,0.05
3.25,0.002
3.25,0.004
3.25,0.006
3.25,0.008
3.25,0.01
3.25,0.012
3.25,0.014
3.25,0.016
3.25,0.018000000000000002
3.25,0.02
3.25,0.022
3.25,0.024
3.25,0.026000000000000002
3.25,0.028
3.25,0.03
3.25,0.032
3.25,0.034
3.25,0.036000000000000004
3.25,0.038
3.25,0.04
3.25,0.042
3.25,0.044
3.25,0.046
3.25,0.048
3.25,0.05
3.5,0.002
3.5,0.004
3.5,0.006
3.5,0.008
3.5,0.01
3.5,0.012
3.5,0.014
3.5,0.016
3.5,0.018000000000000002
3.5,0.02
3.5,0.022
3.5,0.024
3.5,0.026000000000000002
3.5,0.028
3.5,0.03
3.5,0.032
3.5,0.034
3.5,0.036000000000000004
3.5,0.038
3.5,0.04
3.5,0.042
3.5,0.044
3.5,0.046
3.5,0.048
3.5,0.05
3.75,0.002
3.75,0.004
3.75,0.006
3.75,0.008
3.75,0.01
3.75,0.012
3.75,0.014
3.75,0.016
3.75,0.018000000000000002
3.75,0.02
3.75,0.022
3.75,0.024
3.75,0.026000000000000002
3.75,0.028
3.75,0.03
3.75,0.032
3.75,0.034
3.75,0.036000000000000004
3.75,0.038
3.75,0.04
3.75,0.042
3.75,0.044
3.75,0.046
3.75,0.048
3.75,0.05
4.0,0.002
4.0,0.004
4.0,0.006
4.0,0.008
4.0,0.01
4.0,0.012
4.0,0.014
4.0,0.016
4.0,0.018000000000000002
4.0,0.02
4.0,0.022
4.0,0.024
4.0,0.026000000000000002
4.0,0.028
4.0,0.03
4.0,0.032
4.0,0.034
4.0,0.036000000000000004
4.0,0.038
4.0,0.04
4.0,0.042
4.0,0.044
4.0,0.046
4.0,0.048
4.0,0.05
4.25,0.002
4.25,0.004
4.25,0.006
4.25,0.008
4.25,0.01
4.25,0.012
4.25,0.014
4.25,0.016
4.25,0.018000000000000002
4.25,0.02
4.25,0.022
4.25,0.024
4.25,0.026000000000000002
4.25,0.028
4.25,0.03
4.25,0.032
4.25,0.034
4.25,0.036000000000000004
4.25,0.038
4.25,0.04
4.25,0.042
4.25,0.044
4.25,0.046
4.25,0.048
4.25,0.05
4.5,0.002
4.5,0.004
4.5,0.006
4.5,0.008
4.5,0.01
4.5,0.012
4.5,0.014
4.5,0.016
4.5,0.018000000000000002
4.5,0.02
4.5,0.022
4.5,0.024
4.5,0.026000000000000002
4.5,0.028
4.5,0.03
4.5,0.032
4.5,0.034
4.5,0.036000000000000004
4.5,0.038
4.5,0.04
4.5,0.042
4.5,0.044
4.5,0.046
4.5,0.048
4.5,0.05
4.75,0.002
4.75,0.004
4.75,0.006
4.75,0.008
4.75,0.01
4.75,0.012
4.75,0.014
4.75,0.016
4.75,0.018000000000000002
4.75,0.02
4.75,0.022
4.75,0.024
4.75,0.026000000000000002
4.75,0.028
4.75,0.03
4.75,0.032
4.75,0.034
4.75,0.036000000000000004
4.75,0.038
4.75,0.04
4.75,0.042
4.75,0.044
4.75,0.046
4.75,0.048
4.75,0.05
5.0,0.002
5.0,0.004
5.0,0.006
5.0,0.008
5.0,0.01
5.0,0.012
5.0,0.014
5.0,0.016
5.0,0.018000000000000002
5.0,0.02
5.0,0.022
5.0,0.024
5.0,0.026000000000000002
5.0,0.028
5.0,0.03
5.0,0.032
5.0,0.034
5.0,0.036000000000000004
5.0,0.038
5.0,0.04
5.0,0.042
5.0,0.044
5.0,0.046
5.0,0.048
5.0,0.05
